what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325197962668
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325197963439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198012889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198013851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198120539
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198121023
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198143670
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198144824
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198154055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198154091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198437465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198437958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198536914
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198537526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198567880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198569401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198643281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198646600
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198724332
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198725430
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198728318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198728747
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198779701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325198782762
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325199111971
